file_1,file_2,samples,group,generation,ch_type
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/1/VH_illu_treat_error01.fastq,,vh_illu_error01,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/1/VL_illu_treat_error01.fastq,,vl_illu_error01,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/5/VH_illu_treat_error05.fastq,,vh_illu_error05,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/5/VL_illu_treat_error05.fastq,,vl_illu_error05,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/10/VH_illu_treat_error10.fastq,,vh_illu_error10,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/10/VL_illu_treat_error10.fastq,,vl_illu_error10,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/15/VH_illu_treat_error15.fastq,,vh_illu_error15,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/15/VL_illu_treat_error15.fastq,,vl_illu_error15,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/20/VH_illu_treat_error20.fastq,,vh_illu_error20,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/illumina/error/20/VL_illu_treat_error20.fastq,,vl_illu_error20,error,second,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/nano/error/1/nano_treat_error01.fastq,,nano_error01,error,third,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/nano/error/5/nano_treat_error05.fastq,,nano_error05,error,third,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/nano/error/10/nano_treat_error10.fastq,,nano_error10,error,third,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/nano/error/15/nano_treat_error15.fastq,,nano_error15,error,third,
/home/glicina/pbarros/abScope/scripts/simulateVDJ/samples/nano/error/20/nano_treat_error20.fastq,,nano_error20,error,third,
